seq_type,study,filename
unpaired,Eliyahu_2018,ERR2843402_Heavy_IGHM
unpaired,Eliyahu_2018,ERR2843409_Heavy_Bulk
unpaired,Eliyahu_2018,ERR2843412_Heavy_Bulk
unpaired,Eliyahu_2018,ERR2843416_Heavy_IGHA
unpaired,Eliyahu_2018,ERR2843402_Heavy_Bulk
unpaired,Eliyahu_2018,ERR2843397_Heavy_Bulk
unpaired,Eliyahu_2018,ERR2843419_Heavy_IGHA
unpaired,Eliyahu_2018,ERR2843397_Heavy_IGHM
unpaired,Eliyahu_2018,ERR2843388_Heavy_IGHM
unpaired,Eliyahu_2018,ERR2843388_Heavy_IGHD
unpaired,Eliyahu_2018,ERR2843392_Heavy_IGHG
unpaired,Eliyahu_2018,ERR2843407_Heavy_Bulk
unpaired,Eliyahu_2018,ERR2843388_Heavy_IGHG
unpaired,Eliyahu_2018,ERR2843402_Heavy_IGHA
unpaired,Eliyahu_2018,ERR2843388_Heavy_IGHA
unpaired,Eliyahu_2018,ERR2843400_Heavy_IGHM
unpaired,Eliyahu_2018,ERR2843398_Heavy_Bulk
unpaired,Eliyahu_2018,ERR2843388_Heavy_IGHE
unpaired,Eliyahu_2018,ERR2843416_Heavy_IGHD
unpaired,Eliyahu_2018,ERR2843386_Heavy_IGHE
unpaired,Eliyahu_2018,ERR2843386_Heavy_IGHG
unpaired,Eliyahu_2018,ERR2843405_Heavy_IGHA
unpaired,Eliyahu_2018,ERR2843422_Heavy_IGHD
unpaired,Eliyahu_2018,ERR2843393_Heavy_IGHG
unpaired,Eliyahu_2018,ERR2843416_Heavy_IGHG
unpaired,Eliyahu_2018,ERR2843387_Heavy_IGHG
unpaired,Eliyahu_2018,ERR2843396_Heavy_IGHD
unpaired,Eliyahu_2018,ERR2843418_Heavy_IGHG
unpaired,Eliyahu_2018,ERR2843386_Heavy_IGHA
unpaired,Eliyahu_2018,ERR2843397_Heavy_IGHD
unpaired,Eliyahu_2018,ERR2843418_Heavy_IGHM
unpaired,Eliyahu_2018,ERR2843389_Heavy_IGHM
unpaired,Eliyahu_2018,ERR2843426_Heavy_Bulk
unpaired,Eliyahu_2018,ERR2843426_Heavy_IGHM
unpaired,Eliyahu_2018,ERR2843416_Heavy_IGHM
unpaired,Eliyahu_2018,ERR2843404_Heavy_IGHA
unpaired,Eliyahu_2018,ERR2843401_Heavy_IGHG
unpaired,Eliyahu_2018,ERR2843395_Heavy_IGHD
